"縣市別","County(City)","總計 Grand Total","計 Total","博士 Ph.D. Degree","碩士 M.A. Degree","大學 University","專科 College","高中(高職) High (Vocational) School","國中初中初職以下 Junior High School & Under"
"總計","GrandTotal","338305","268331","2712","38969","115382","111268","66181","3793"
"中央各機關","CentralGovernmentAgency","186820","152801","2484","27390","71189","51738","30581","3438"
"地方各機關","LocalGovernmentAgency","151485","115530","228","11579","44193","59530","35600","355"
"臺北市各機關","TaipeiCityAgency","28104","23756","84","3510","10166","9996","4303","45"
"高雄市各機關","KaohsiungCityAgency","12058","9304","31","1355","3930","3988","2744","10"
"臺北縣各機關","TaipeiCountyAgency","16068","12755","19","1092","4900","6744","3283","30"
"宜蘭縣各機關","YilanCountyAgency","3574","2678","3","212","901","1562","885","11"
"桃園縣各機關","TaoyuanCountyAgency","8879","7037","6","517","2509","4005","1826","16"
"新竹縣各機關","HsinchuCountyAgency","3344","2597","1","232","1017","1347","736","11"
"苗栗縣各機關","MiaoliCountyAgency","3841","2797","2","197","1001","1597","1028","16"
"臺中縣各機關","TaichungCountyAgency","7896","6081","10","456","2124","3491","1795","20"
"彰化縣各機關","ChanghuaCountyAgency","7517","5517","7","408","1941","3161","1985","15"
"南投縣各機關","NantouCountyAgency","4189","2964","2","254","966","1742","1216","9"
"雲林縣各機關","YunlinCountyAgency","4941","3542","7","231","1268","2036","1377","22"
"嘉義縣各機關","ChiayiCountyAgency","4245","3040","3","255","1099","1683","1198","7"
"臺南縣各機關","TainanCountyAgency","6842","4965","11","433","2065","2456","1860","17"
"高雄縣各機關","KaohsiungCountyAgency","7110","4893","12","481","1868","2532","2200","17"
"屏東縣各機關","PingtungCountyAgency","6060","4017","6","262","1538","2211","2019","24"
"臺東縣各機關","TaitungCountyAgency","3055","2002","2","154","621","1225","1048","5"
"花蓮縣各機關","HualienCountyAgency","3474","2436","2","147","693","1594","1036","2"
"澎湖縣各機關","PenghuCountyAgency","1807","1211","1","85","354","771","588","8"
"基隆市各機關","KeelungCityAgency","2788","2086","3","160","773","1150","698","4"
"新竹市各機關","HsinchuCityAgency","2426","1903","3","182","759","959","521","2"
"臺中市各機關","TaichungCityAgency","5924","4495","5","429","1603","2458","1424","5"
"嘉義市各機關","ChiayiCityAgency","1892","1416","2","125","525","764","474","2"
"臺南市各機關","TainanCityAgency","4054","3005","4","267","1178","1556","1047","2"
"金門縣各機關","KinmenCountyAgency","1152","876","2","117","335","422","234","42"
"連江縣各機關","LienchiangCountyAgency","245","157","－","18","59","80","75","13"
