"性別及年齡別","Sex & Age","總計 Grand Total","0-5年 Years","5-10年 Years","10-15年 Years","15年 Years","16年 Years","17年 Years","18年 Years","19年 Years","20年 Years","21年 Years","22年 Years","23年 Years","24年 Years","25年 Years","26年 Years","27年 Years","28年 Years","29年 Years","30年以上 30 Years & Over"
"總計","GrandTotal","338305","44549","34572","50905","14888","14286","15537","16405","17947","14966","8371","10407","10275","11456","8929","9513","10093","10086","5195","29925"
"男性","Male","210720","25749","17881","26930","9718","8526","10003","9618","11923","11744","5837","7580","7169","7316","5799","5791","6648","6661","3664","22163"
"女性","Female","127585","18800","16691","23975","5170","5760","5534","6787","6024","3222","2534","2827","3106","4140","3130","3722","3445","3425","1531","7762"
"18-25歲","Years","5892","5888","4","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－"
"25-30歲","Years","20818","17216","3598","4","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－"
"30-35歲","Years","35084","12048","12452","9638","738","208","－","－","－","－","－","－","－","－","－","－","－","－","－","－"
"35-40歲","Years","59655","5177","10325","19852","5948","5112","4011","2307","4532","2385","6","－","－","－","－","－","－","－","－","－"
"40-45歲","Years","63877","2386","4700","11883","4595","5311","6093","6485","5578","5649","3284","3022","2281","1696","569","345","－","－","－","－"
"45歲","Years","13068","293","493","1311","589","712","1029","1372","1199","1105","638","828","720","748","993","719","319","－","－","－"
"46歲","Years","12939","194","393","1152","479","565","837","1168","1055","1066","651","933","918","815","724","768","742","479","－","－"
"47歲","Years","12893","176","342","936","389","491","652","999","1005","970","671","936","1078","1067","604","500","1005","992","80","－"
"48歲","Years","12822","169","266","856","331","364","607","877","838","885","683","949","1036","1247","873","696","774","1003","322","46"
"49歲","Years","12376","133","272","775","336","304","457","628","733","664","582","834","981","1270","958","1119","737","792","456","345"
"50歲","Years","11212","135","228","651","277","234","380","520","576","538","431","677","801","1077","832","1125","1032","654","449","595"
"51歲","Years","10104","83","214","545","231","201","305","391","439","369","327","569","582","890","743","882","1068","987","394","884"
"52歲","Years","9996","100","190","509","207","154","244","340","407","285","268","500","503","721","617","817","1043","1042","605","1444"
"53歲","Years","9398","98","163","489","169","138","201","295","347","287","191","312","377","533","561","729","933","1027","664","1884"
"54歲","Years","8205","79","160","349","145","118","163","233","270","184","134","216","264","420","412","528","707","899","549","2375"
"55歲","Years","7039","64","133","370","101","103","128","199","204","181","122","150","176","292","289","395","524","699","528","2381"
"56歲","Years","5992","55","145","317","93","84","111","161","187","108","82","149","140","205","215","267","376","396","364","2537"
"57歲","Years","6108","59","126","329","70","59","112","140","159","81","88","114","157","169","161","232","279","410","312","3051"
"58歲","Years","4944","51","94","219","59","46","70","87","134","68","70","84","97","114","118","132","176","246","189","2890"
"59歲","Years","4262","46","70","203","52","22","46","75","98","52","58","54","53","84","111","99","111","185","106","2737"
"60歲","Years","3431","37","85","165","35","25","31","43","63","37","25","37","44","45","53","59","94","106","70","2377"
"61歲","Years","2717","18","44","114","11","12","19","32","52","21","19","17","26","25","36","44","68","70","29","2060"
"62歲","Years","1914","15","31","97","15","11","21","22","28","9","16","10","19","14","28","21","41","41","22","1453"
"63歲","Years","1437","8","13","46","7","5","7","11","20","10","10","10","9","9","18","17","26","31","27","1153"
"64歲","Years","1335","6","12","64","5","5","10","14","16","7","10","4","5","11","10","14","19","19","14","1090"
"65歲","Years","595","4","7","29","4","1","2","5","7","4","5","1","7","4","4","4","16","7","13","471"
"66歲以上","66Years&Over","192","11","12","2","2","1","1","1","－","1","－","1","1","－","－","1","3","1","2","152"
