"縣市別","County(City)","總計 Grand Total","計 Total","高等考試 Senior Examination","普通考試 Junior Examination","初等考試 Elementary Examination","特種考試 Special Examination","升等考試 Rank Promotion Examination","其他考試 Other Examination","依其他法令進用 Appointed by Other Decree"
"總計","GrandTotal","338305","276736","43686","19851","3596","143795","62052","3756","61569"
"中央各機關","CentralGovernmentAgency","186820","142127","29410","10287","1491","60176","38890","1873","44693"
"地方各機關","LocalGovernmentAgency","151485","134609","14276","9564","2105","83619","23162","1883","16876"
"臺北市各機關","TaipeiCityAgency","28104","22680","4120","2379","453","12050","3220","458","5424"
"高雄市各機關","KaohsiungCityAgency","12058","10815","1622","904","278","5750","2051","210","1243"
"臺北縣各機關","TaipeiCountyAgency","16068","14662","1356","908","148","10290","1841","119","1406"
"宜蘭縣各機關","YilanCountyAgency","3574","3283","304","195","27","1942","786","29","291"
"桃園縣各機關","TaoyuanCountyAgency","8879","8270","675","513","94","5768","1153","67","609"
"新竹縣各機關","HsinchuCountyAgency","3344","2875","300","174","34","1875","466","26","469"
"苗栗縣各機關","MiaoliCountyAgency","3841","3348","289","222","52","2147","604","34","493"
"臺中縣各機關","TaichungCountyAgency","7896","7270","730","548","99","4374","1451","68","626"
"彰化縣各機關","ChanghuaCountyAgency","7517","6897","527","490","121","4257","1438","64","620"
"南投縣各機關","NantouCountyAgency","4189","3762","303","221","43","2363","796","36","427"
"雲林縣各機關","YunlinCountyAgency","4941","4302","307","231","55","2713","948","48","639"
"嘉義縣各機關","ChiayiCountyAgency","4245","3809","334","248","66","2460","676","25","436"
"臺南縣各機關","TainanCountyAgency","6842","6300","565","484","143","3875","1171","62","542"
"高雄縣各機關","KaohsiungCountyAgency","7110","6415","573","453","117","4108","1098","66","695"
"屏東縣各機關","PingtungCountyAgency","6060","5247","371","442","79","3389","884","82","813"
"臺東縣各機關","TaitungCountyAgency","3055","2619","175","76","16","1833","492","27","436"
"花蓮縣各機關","HualienCountyAgency","3474","3024","130","90","17","2141","605","41","450"
"澎湖縣各機關","PenghuCountyAgency","1807","1640","68","42","4","1159","350","17","167"
"基隆市各機關","KeelungCityAgency","2788","2539","200","140","23","1639","504","33","249"
"新竹市各機關","HsinchuCityAgency","2426","2282","234","148","38","1484","346","32","144"
"臺中市各機關","TaichungCityAgency","5924","5696","496","305","82","3854","903","56","228"
"嘉義市各機關","ChiayiCityAgency","1892","1779","149","98","38","1142","329","23","113"
"臺南市各機關","TainanCityAgency","4054","3852","379","233","72","2434","682","52","202"
"金門縣各機關","KinmenCountyAgency","1152","1053","59","16","6","492","318","162","99"
"連江縣各機關","LienchiangCountyAgency","245","190","10","4","－","80","50","46","55"
