"縣市別","County(City)","總計 Grand Total","男性 Male","女性 Female","行政機關 Administrative Agency","計 Total","生產事業 Production Enterprise","交通事業 Transportation Enterprise","金融事業 Financial Enterprise","衛生醫療機構 Hygien & Medical Service Org.","公立學校(職員) Public School (Staff)"
"總計","GrandTotal","338305","210720","127585","219615","72997","22177","34877","15943","20991","24702"
"中央各機關","CentralGovernmentAgency","186820","115404","71416","89052","70593","21431","33285","15877","17540","9635"
"地方各機關","LocalGovernmentAgency","151485","95316","56169","130563","2404","746","1592","66","3451","15067"
"臺北市各機關","TaipeiCityAgency","28104","15951","12153","20601","2134","640","1438","56","2338","3031"
"高雄市各機關","KaohsiungCityAgency","12058","7381","4677","9918","90","－","80","10","819","1231"
"臺北縣各機關","TaipeiCountyAgency","16068","10542","5526","14361","－","－","－","－","212","1495"
"宜蘭縣各機關","YilanCountyAgency","3574","2168","1406","3138","－","－","－","－","－","436"
"桃園縣各機關","TaoyuanCountyAgency","8879","5725","3154","7833","－","－","－","－","－","1046"
"新竹縣各機關","HsinchuCountyAgency","3344","1942","1402","2932","36","36","－","－","－","376"
"苗栗縣各機關","MiaoliCountyAgency","3841","2458","1383","3512","－","－","－","－","－","329"
"臺中縣各機關","TaichungCountyAgency","7896","4846","3050","6973","－","－","－","－","－","923"
"彰化縣各機關","ChanghuaCountyAgency","7517","4809","2708","6869","－","－","－","－","－","648"
"南投縣各機關","NantouCountyAgency","4189","2700","1489","3805","－","－","－","－","－","384"
"雲林縣各機關","YunlinCountyAgency","4941","3046","1895","4471","－","－","－","－","－","470"
"嘉義縣各機關","ChiayiCountyAgency","4245","2739","1506","3877","10","－","10","－","－","358"
"臺南縣各機關","TainanCountyAgency","6842","4501","2341","6231","－","－","－","－","－","611"
"高雄縣各機關","KaohsiungCountyAgency","7110","4603","2507","6382","－","－","－","－","－","728"
"屏東縣各機關","PingtungCountyAgency","6060","3866","2194","5507","－","－","－","－","－","553"
"臺東縣各機關","TaitungCountyAgency","3055","2022","1033","2743","－","－","－","－","－","312"
"花蓮縣各機關","HualienCountyAgency","3474","2212","1262","3102","－","－","－","－","－","372"
"澎湖縣各機關","PenghuCountyAgency","1807","1328","479","1745","12","－","12","－","－","50"
"基隆市各機關","KeelungCityAgency","2788","1805","983","2419","28","－","28","－","60","281"
"新竹市各機關","HsinchuCityAgency","2426","1490","936","2123","－","－","－","－","－","303"
"臺中市各機關","TaichungCityAgency","5924","4178","1746","5438","－","－","－","－","－","486"
"嘉義市各機關","ChiayiCityAgency","1892","1259","633","1753","－","－","－","－","－","139"
"臺南市各機關","TainanCityAgency","4054","2688","1366","3655","－","－","－","－","－","399"
"金門縣各機關","KinmenCountyAgency","1152","867","285","1013","58","49","9","－","－","81"
"連江縣各機關","LienchiangCountyAgency","245","190","55","162","36","21","15","－","22","25"
