"縣市別","County(City)","總計 Grand Total","計 Total","高等考試 Senior Examination","普通考試 Junior Examination","初等考試 Elementary Examination","特種考試 Special Examination","升等考試 Rank Promotion Examination","其他考試 Other Examination","依其他法令進用 Appointed by Other Decree"
"總計","GrandTotal","335274","270761","40832","20986","3048","142048","59388","4459","64513"
"中央各機關","CentralGovernmentAgency","185286","139974","27801","10904","1251","60273","37503","2242","45312"
"地方各機關","LocalGovernmentAgency","149988","130787","13031","10082","1797","81775","21885","2217","19201"
"臺北市各機關","TaipeiCityAgency","28208","22404","4012","2621","461","11567","3228","515","5804"
"高雄市各機關","KaohsiungCityAgency","12142","10671","1470","980","224","5811","1927","259","1471"
"臺北縣各機關","TaipeiCountyAgency","15269","13307","1083","873","125","9367","1706","153","1962"
"宜蘭縣各機關","YilanCountyAgency","3659","3295","278","212","23","1996","751","35","364"
"桃園縣各機關","TaoyuanCountyAgency","8537","7770","611","521","86","5382","1076","94","767"
"新竹縣各機關","HsinchuCountyAgency","3247","2759","243","176","27","1839","441","33","488"
"苗栗縣各機關","MiaoliCountyAgency","3790","3271","241","225","37","2136","592","40","519"
"臺中縣各機關","TaichungCountyAgency","7811","7055","667","580","85","4235","1403","85","756"
"彰化縣各機關","ChanghuaCountyAgency","7490","6814","475","474","100","4284","1403","78","676"
"南投縣各機關","NantouCountyAgency","4229","3761","287","230","33","2426","743","42","468"
"雲林縣各機關","YunlinCountyAgency","4978","4264","259","232","32","2795","887","59","714"
"嘉義縣各機關","ChiayiCountyAgency","4277","3736","277","261","49","2516","598","35","541"
"臺南縣各機關","TainanCountyAgency","6791","6179","502","497","129","3878","1103","70","612"
"高雄縣各機關","KaohsiungCountyAgency","7082","6258","521","486","91","4101","984","75","824"
"屏東縣各機關","PingtungCountyAgency","5954","5076","338","460","66","3326","799","87","878"
"臺東縣各機關","TaitungCountyAgency","3130","2648","161","78","13","1920","443","33","482"
"花蓮縣各機關","HualienCountyAgency","3485","3002","121","97","15","2172","555","42","483"
"澎湖縣各機關","PenghuCountyAgency","1841","1664","64","50","2","1204","325","19","177"
"基隆市各機關","KeelungCityAgency","2865","2566","167","144","23","1731","460","41","299"
"新竹市各機關","HsinchuCityAgency","2393","2220","212","154","31","1454","330","39","173"
"臺中市各機關","TaichungCityAgency","5442","5216","487","342","60","3469","791","67","226"
"嘉義市各機關","ChiayiCityAgency","1937","1800","140","107","24","1200","301","28","137"
"臺南市各機關","TainanCityAgency","4083","3850","352","262","53","2439","683","61","233"
"金門縣各機關","KinmenCountyAgency","958","904","52","15","6","405","278","148","54"
"連江縣各機關","LienchiangCountyAgency","390","297","11","5","2","122","78","79","93"
