"性別及年齡別","Sex & Age","總計 Grand Total","0-5年 Years","5-10年 Years","10-15年 Years","15年 Years","16年 Years","17年 Years","18年 Years","19年 Years","20年 Years","21年 Years","22年 Years","23年 Years","24年 Years","25年 Years","26年 Years","27年 Years","28年 Years","29年 Years","30年以上 30 Years & Over"
"總計","GrandTotal","335274","34318","36504","66868","15746","16355","18640","15415","8591","10625","10857","12240","9967","11075","11697","11510","6091","5162","4637","28976"
"男性","Male","211374","18919","18576","38372","10166","9538","12568","12173","6011","7769","7724","8066","6559","6755","7524","7492","4273","3761","3486","21642"
"女性","Female","123900","15399","17928","28496","5580","6817","6072","3242","2580","2856","3133","4174","3408","4320","4173","4018","1818","1401","1151","7334"
"18-25歲","Years","4454","4450","4","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－"
"25-30歲","Years","16010","11712","4272","26","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－"
"30-35歲","Years","42356","9557","14190","17778","559","272","－","－","－","－","－","－","－","－","－","－","－","－","－","－"
"35-40歲","Years","64009","4561","10689","23889","6009","4212","7337","5318","1307","655","32","－","－","－","－","－","－","－","－","－"
"40-45歲","Years","64077","2033","4075","14355","5535","6708","5585","5156","3361","4172","3994","3254","2348","1873","1136","492","－","－","－","－"
"45歲","Years","13007","214","411","1671","658","995","1014","983","680","935","1085","1077","615","530","1020","1036","83","－","－","－"
"46歲","Years","12961","199","338","1407","612","875","837","910","691","964","1058","1266","889","717","800","1015","334","49","－","－"
"47歲","Years","12530","177","334","1281","462","635","732","667","590","832","994","1294","970","1173","757","817","427","282","106","－"
"48歲","Years","12075","183","277","1049","379","514","584","542","440","687","871","1179","939","1286","1188","748","524","405","234","46"
"49歲","Years","11773","145","248","878","310","389","441","374","338","576","662","1027","915","1144","1356","1258","533","425","471","283"
"50歲","Years","11356","127","239","767","243","340","411","294","267","518","546","807","744","1030","1254","1270","715","455","475","854"
"51歲","Years","10300","140","202","709","202","298","353","304","191","330","412","601","655","874","1070","1142","738","606","365","1108"
"52歲","Years","8868","122","177","539","165","239","274","202","141","229","286","459","460","627","805","978","613","615","545","1392"
"53歲","Years","7934","102","155","512","129","203","207","187","133","161","207","337","372","502","627","786","602","518","560","1634"
"54歲","Years","7827","113","165","428","117","169","197","114","91","159","170","265","302","426","552","582","488","538","527","2424"
"55歲","Years","7544","100","154","392","120","147","163","96","91","127","173","213","218","326","395","524","411","434","448","3012"
"56歲","Years","5393","92","112","263","72","96","139","70","74","88","115","143","143","160","202","269","216","266","305","2568"
"57歲","Years","4761","58","101","227","49","80","103","59","60","57","65","119","148","131","131","204","130","176","226","2637"
"58歲","Years","4105","72","101","187","37","54","78","50","32","52","61","73","87","91","117","130","87","150","140","2506"
"59歲","Years","3400","44","67","136","25","45","66","29","25","33","45","41","60","72","99","94","47","89","90","2293"
"60歲","Years","2329","32","56","104","24","28","34","14","24","16","25","22","42","31","62","53","28","51","56","1627"
"61歲","Years","1816","13","30","57","10","12","26","11","14","12","16","16","23","24","39","45","32","23","21","1392"
"62歲","Years","1895","15","38","74","14","16","23","15","12","4","11","19","12","19","26","24","25","26","24","1498"
"63歲","Years","1672","12","26","60","4","11","13","8","9","6","13","14","14","14","31","17","30","24","24","1342"
"64歲","Years","1412","11","21","46","6","11","15","7","11","8","10","9","7","13","14","16","22","19","12","1154"
"65歲","Years","698","11","10","20","4","4","5","1","7","2","4","4","3","4","10","6","5","8","7","583"
"66歲以上","66Years&Over","712","23","12","13","1","2","3","4","2","2","2","1","1","8","6","4","1","3","1","623"
