"縣市別","County(City)","總計 Grand Total","男性 Male","女性 Female","行政機關 Administrative Agency","計 Total","生產事業 Production Enterprise","交通事業 Transportation Enterprise","金融事業 Financial Enterprise","衛生醫療機構 Hygien & Medical Service Org.","公立學校(職員) Public School (Staff)"
"總計","GrandTotal","335274","211374","123900","216422","72922","21411","34940","16571","21961","23969"
"中央各機關","CentralGovernmentAgency","185286","115965","69321","87018","70673","20633","33531","16509","18124","9471"
"地方各機關","LocalGovernmentAgency","149988","95409","54579","129404","2249","778","1409","62","3837","14498"
"臺北市各機關","TaipeiCityAgency","28208","16019","12189","20634","1970","664","1254","52","2610","2994"
"高雄市各機關","KaohsiungCityAgency","12142","7561","4581","9933","88","－","78","10","921","1200"
"臺北縣各機關","TaipeiCountyAgency","15269","10141","5128","13667","－","－","－","－","221","1381"
"宜蘭縣各機關","YilanCountyAgency","3659","2287","1372","3222","－","－","－","－","－","437"
"桃園縣各機關","TaoyuanCountyAgency","8537","5531","3006","7553","－","－","－","－","－","984"
"新竹縣各機關","HsinchuCountyAgency","3247","1900","1347","2836","35","35","－","－","－","376"
"苗栗縣各機關","MiaoliCountyAgency","3790","2472","1318","3478","－","－","－","－","－","312"
"臺中縣各機關","TaichungCountyAgency","7811","4833","2978","6930","－","－","－","－","－","881"
"彰化縣各機關","ChanghuaCountyAgency","7490","4851","2639","6868","－","－","－","－","－","622"
"南投縣各機關","NantouCountyAgency","4229","2754","1475","3854","－","－","－","－","－","375"
"雲林縣各機關","YunlinCountyAgency","4978","3159","1819","4551","－","－","－","－","－","427"
"嘉義縣各機關","ChiayiCountyAgency","4277","2827","1450","3909","15","－","15","－","－","353"
"臺南縣各機關","TainanCountyAgency","6791","4555","2236","6227","－","－","－","－","－","564"
"高雄縣各機關","KaohsiungCountyAgency","7082","4695","2387","6395","－","－","－","－","－","687"
"屏東縣各機關","PingtungCountyAgency","5954","3837","2117","5407","－","－","－","－","－","547"
"臺東縣各機關","TaitungCountyAgency","3130","2099","1031","2817","－","－","－","－","－","313"
"花蓮縣各機關","HualienCountyAgency","3485","2231","1254","3136","－","－","－","－","－","349"
"澎湖縣各機關","PenghuCountyAgency","1841","1362","479","1780","12","－","12","－","－","49"
"基隆市各機關","KeelungCityAgency","2865","1883","982","2503","29","－","29","－","61","272"
"新竹市各機關","HsinchuCityAgency","2393","1506","887","2110","－","－","－","－","－","283"
"臺中市各機關","TaichungCityAgency","5442","3797","1645","4969","－","－","－","－","－","473"
"嘉義市各機關","ChiayiCityAgency","1937","1307","630","1804","－","－","－","－","－","133"
"臺南市各機關","TainanCityAgency","4083","2750","1333","3688","－","－","－","－","－","395"
"金門縣各機關","KinmenCountyAgency","958","748","210","824","61","55","6","－","－","73"
"連江縣各機關","LienchiangCountyAgency","390","304","86","309","39","24","15","－","24","18"
