"縣市別","County(City)","總計 Grand Total","計 Total","高等考試 Senior Examination","普通考試 Junior Examination","初等考試 Elementary Examination","特種考試 Special Examination","升等考試 Rank Promotion Examination","其他考試 Other Examination","依其他法令進用 Appointed by Other Decree"
"總計","GrandTotal","336842","273263","42155","20631","3330","142779","60408","3960","63579"
"中央各機關","CentralGovernmentAgency","185960","140730","28567","10689","1368","60387","37795","1924","45230"
"地方各機關","LocalGovernmentAgency","150882","132533","13588","9942","1962","82392","22613","2036","18349"
"臺北市各機關","TaipeiCityAgency","28051","22299","4041","2523","476","11560","3224","475","5752"
"高雄市各機關","KaohsiungCityAgency","12194","10788","1529","971","252","5815","1987","234","1406"
"臺北縣各機關","TaipeiCountyAgency","15562","14185","1198","888","138","10052","1771","138","1377"
"宜蘭縣各機關","YilanCountyAgency","3636","3277","281","208","23","1972","761","32","359"
"桃園縣各機關","TaoyuanCountyAgency","8782","8062","647","531","93","5631","1081","79","720"
"新竹縣各機關","HsinchuCountyAgency","3305","2799","268","170","29","1858","443","31","506"
"苗栗縣各機關","MiaoliCountyAgency","3810","3282","259","225","44","2124","593","37","528"
"臺中縣各機關","TaichungCountyAgency","7907","7176","717","575","87","4288","1434","75","731"
"彰化縣各機關","ChanghuaCountyAgency","7432","6767","485","487","103","4230","1390","72","665"
"南投縣各機關","NantouCountyAgency","4231","3761","297","228","38","2398","762","38","470"
"雲林縣各機關","YunlinCountyAgency","4945","4270","301","227","46","2735","907","54","675"
"嘉義縣各機關","ChiayiCountyAgency","4251","3748","311","272","54","2482","598","31","503"
"臺南縣各機關","TainanCountyAgency","6821","6220","531","516","136","3856","1112","69","601"
"高雄縣各機關","KaohsiungCountyAgency","7121","6328","533","478","105","4106","1036","70","793"
"屏東縣各機關","PingtungCountyAgency","5969","5111","343","442","77","3351","815","83","858"
"臺東縣各機關","TaitungCountyAgency","3090","2619","176","70","13","1869","460","31","471"
"花蓮縣各機關","HualienCountyAgency","3491","2976","125","92","15","1851","856","37","515"
"澎湖縣各機關","PenghuCountyAgency","1828","1654","66","43","2","1185","340","18","174"
"基隆市各機關","KeelungCityAgency","2858","2575","183","142","22","1703","488","37","283"
"新竹市各機關","HsinchuCityAgency","2399","2235","222","149","35","1473","319","37","164"
"臺中市各機關","TaichungCityAgency","5829","5548","503","328","66","3723","870","58","281"
"嘉義市各機關","ChiayiCityAgency","1936","1801","142","108","34","1170","321","26","135"
"臺南市各機關","TainanCityAgency","4072","3839","359","250","66","2419","690","55","233"
"金門縣各機關","KinmenCountyAgency","1116","1019","62","16","8","456","304","173","97"
"連江縣各機關","LienchiangCountyAgency","246","194","9","3","－","85","51","46","52"
