"性別及年齡別","Sex & Age","總計 Grand Total","0-5年 Years","5-10年 Years","10-15年 Years","15年 Years","16年 Years","17年 Years","18年 Years","19年 Years","20年 Years","21年 Years","22年 Years","23年 Years","24年 Years","25年 Years","26年 Years","27年 Years","28年 Years","29年 Years","30年以上 30 Years & Over"
"總計","GrandTotal","336842","38275","35184","59313","14446","15680","16295","18589","15323","8513","10560","10748","11906","9632","10383","10986","10837","5666","4791","29715"
"男性","Male","211350","21771","17763","33528","8665","10134","9512","12519","12081","5955","7712","7618","7762","6243","6333","7135","7099","3978","3504","22038"
"女性","Female","125492","16504","17421","25785","5781","5546","6783","6070","3242","2558","2848","3130","4144","3389","4050","3851","3738","1688","1287","7677"
"18-25歲","Years","4883","4881","2","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－"
"25-30歲","Years","18269","14511","3743","15","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－"
"30-35歲","Years","38037","10319","13141","13579","984","14","－","－","－","－","－","－","－","－","－","－","－","－","－","－"
"35-40歲","Years","62979","4708","10644","22189","5618","5316","3150","6387","4471","474","22","－","－","－","－","－","－","－","－","－"
"40-45歲","Years","63383","2111","4355","12970","4846","5925","6878","5464","4884","3520","3876","3070","2433","1595","1121","335","－","－","－","－"
"45歲","Years","13021","223","427","1519","566","834","1161","1065","1082","660","931","947","822","745","745","811","483","－","－","－"
"46歲","Years","12961","178","370","1262","497","650","996","1013","986","673","932","1082","1078","614","514","1002","1027","87","－","－"
"47歲","Years","12920","175","292","1127","366","609","874","839","903","683","951","1056","1268","887","715","787","1007","335","46","－"
"48歲","Years","12480","144","290","1045","310","459","627","733","666","587","834","995","1285","973","1162","751","807","431","280","101"
"49歲","Years","12031","150","238","871","239","379","517","587","542","435","692","865","1177","936","1272","1193","744","519","392","283"
"50歲","Years","11035","97","223","728","203","308","392","443","371","337","576","647","970","854","1026","1226","1131","472","367","664"
"51歲","Years","10543","114","210","658","157","242","340","411","291","267","515","537","750","691","903","1119","1117","637","406","1178"
"52歲","Years","9823","104","179","614","139","197","295","349","301","191","321","406","570","614","791","995","1090","696","573","1398"
"53歲","Years","8491","94","174","451","117","164","234","268","199","140","221","282","429","441","571","749","920","578","598","1861"
"54歲","Years","7659","78","140","439","106","128","201","208","184","128","156","199","327","345","460","591","762","580","498","2129"
"55歲","Years","7242","71","160","376","85","112","165","193","113","87","156","170","242","277","376","492","517","455","494","2701"
"56歲","Years","6388","67","138","366","62","116","139","161","90","88","122","168","179","187","249","294","428","333","367","2834"
"57歲","Years","5186","59","115","242","48","71","91","138","68","73","88","112","123","139","148","185","260","200","259","2767"
"58歲","Years","4538","45","88","227","21","50","79","102","57","61","56","61","96","132","117","117","199","122","169","2739"
"59歲","Years","3866","54","85","183","30","35","53","76","47","32","50","58","64","69","73","109","123","78","130","2517"
"60歲","Years","3038","25","52","127","20","23","38","60","25","22","26","33","33","52","52","85","85","38","83","2159"
"61歲","Years","2074","21","36","107","11","23","25","29","11","20","11","23","18","34","25","45","46","24","47","1518"
"62歲","Years","1663","5","21","53","6","7","10","25","11","11","10","13","15","22","22","34","40","29","24","1305"
"63歲","Years","1588","12","20","70","5","12","14","21","9","10","4","9","13","12","15","24","21","16","25","1276"
"64歲","Years","1348","11","13","53","7","4","7","12","6","7","4","10","9","10","10","28","14","24","21","1098"
"65歲","Years","712","4","11","29","－","2","6","4","4","6","4","3","3","3","8","7","10","10","9","589"
"66歲以上","66Years&Over","684","14","17","13","3","－","3","1","2","1","2","2","2","－","8","7","6","2","3","598"
