"官等別","Rank","總計 Grand Total","中央各機關 Central Government Agency","臺灣各縣市機關 Local County(City) Agency","新北市各機關 New Taipei City Agency","台北市各機關 Taipei City Agency","臺中市各機關 Taichung City Agency","臺南市各機關 Tainan City Agency","高雄市各機關 Kaohsiung City Agency","金門縣,連江縣各機關 Kinmen & Lienchiang County Agency"
"總計","GrandTotal","336842","185960","109275","28051","12194","1362"
"政務人員","PoliticalAppointee","297","186","56","28","25","2"
"特任(派)","SpeciallyAppointmentRank","114","114","－","－","－","－"
"比照簡任十四職等","EquivalenttoGrade14","56","52","－","2","2","－"
"比照簡任十三職等","EquivalenttoGrade13","95","20","24","26","23","2"
"比照簡任十二職等","EquivalenttoGrade12","32","－","32","－","－","－"
"民選機關首長","ElectedAgencyChief","338","－","324","1","1","12"
"直轄市長","Mayor","2","－","－","1","1","－"
"縣(市)長","Magistrate","23","－","21","－","－","2"
"鄉(鎮、市)長","Alcalde","313","－","303","－","－","10"
"簡薦委任(派)人員","RankingServant","176908","88772","61564","18297","7341","934"
"簡任","SeniorRank","8751","7543","741","271","149","47"
"簡派","SeniorDetail","267","193","－","69","5","－"
"薦任","JuniorRank","96585","47385","35373","8975","4367","485"
"薦派","JuniorDetail","2774","1699","10","944","121","－"
"委任","ElementaryRank","64734","29241","24737","7740","2618","398"
"委派","ElementaryDetail","875","677","4","168","26","－"
"雇員","AuxiliaryEmployee","2922","2034","699","130","55","4"
"警察人員","PoliceOfficer","72749","14214","47070","6993","4078","394"
"警監","SelectedRank","241","178","37","12","10","4"
"警正","RecommendedRank","47336","10662","29244","4209","2941","280"
"警佐","DelegatedRank","25172","3374","17789","2772","1127","110"
"資料來源：全國公務人力資料庫。"
"註：分類職位人員項下括弧內之職等，係指直轄市及各縣市生產事業人員之職等；金融人員項下括弧內之職等"
"13職等6級以上(12至14職等)","Grade13,Level6&Over(Grade12to14)","795","784","－","11","－","－"
"7至13職等5級(8至11職等)","Grade7to13,underLevel5(Grade8to11)","18368","17823","23","522","－","－"
"1至6職等(3至7職等)","Grade1to6(Grade3to7)","1549","1475","12","62","－","－"
"資位人員","RankPersonnel","32206","32206","－","－","－","－"
"長級","SeniorLevel","99","99","－","－","－","－"
"副長級","Sub-seniorLevel","668","668","－","－","－","－"
"高員級","JuniorLevel","5043","5043","－","－","－","－"
"員級","ElementaryLevel","6238","6238","－","－","－","－"
"佐級","AssistantLevel","13410","13410","－","－","－","－"
"士級","BasicLevel","6748","6748","－","－","－","－"
"金融人員","FinancialPersonnel","15933","15933","－","－","－","－"
"14(13)職等以上","Grade14(13)&over","443","443","－","－","－","－"
"8至13(8至12)職等","Grade8to13(Grade8to12)","12375","12375","－","－","－","－"
"6職等至7職等","Grade6to7","2393","2393","－","－","－","－"
"5職等","Grade5","722","722","－","－","－","－"
"醫事人員","MedicalPersonnel","17699","14567","226","2137","749","20"
"師(一)級","SeniorGrade1","434","398","2","17","17","－"
"師(二)級","SeniorGrade2","2729","2257","38","305","128","1"
"師(三)級","SeniorGrade3","8127","6512","118","1163","322","12"
"士(生)級","Junior","6409","5400","68","652","282","7"
