"縣市別","County(City)","總計 Grand Total","男性 Male","女性 Female","行政機關 Administrative Agency","計 Total","生產事業 Production Enterprise","交通事業 Transportation Enterprise","金融事業 Financial Enterprise","衛生醫療機構 Hygien & Medical Service Org.","公立學校(職員) Public School (Staff)"
"總計","GrandTotal","336842","211350","125492","218793","72271","21629","34322","16320","21449","24329"
"中央各機關","CentralGovernmentAgency","185960","115592","70368","88647","69981","20870","32855","16256","17820","9512"
"地方各機關","LocalGovernmentAgency","150882","95758","55124","130146","2290","759","1467","64","3629","14817"
"臺北市各機關","TaipeiCityAgency","28051","15977","12074","20581","2013","655","1304","54","2457","3000"
"高雄市各機關","KaohsiungCityAgency","12194","7536","4658","9981","97","－","87","10","891","1225"
"臺北縣各機關","TaipeiCountyAgency","15562","10358","5204","13881","－","－","－","－","199","1482"
"宜蘭縣各機關","YilanCountyAgency","3636","2255","1381","3202","－","－","－","－","－","434"
"桃園縣各機關","TaoyuanCountyAgency","8782","5690","3092","7766","－","－","－","－","－","1016"
"新竹縣各機關","HsinchuCountyAgency","3305","1943","1362","2899","35","35","－","－","－","371"
"苗栗縣各機關","MiaoliCountyAgency","3810","2454","1356","3496","－","－","－","－","－","314"
"臺中縣各機關","TaichungCountyAgency","7907","4870","3037","6987","－","－","－","－","－","920"
"彰化縣各機關","ChanghuaCountyAgency","7432","4782","2650","6791","－","－","－","－","－","641"
"南投縣各機關","NantouCountyAgency","4231","2747","1484","3850","－","－","－","－","－","381"
"雲林縣各機關","YunlinCountyAgency","4945","3098","1847","4503","－","－","－","－","－","442"
"嘉義縣各機關","ChiayiCountyAgency","4251","2773","1478","3887","12","－","12","－","－","352"
"臺南縣各機關","TainanCountyAgency","6821","4516","2305","6222","－","－","－","－","－","599"
"高雄縣各機關","KaohsiungCountyAgency","7121","4681","2440","6420","－","－","－","－","－","701"
"屏東縣各機關","PingtungCountyAgency","5969","3822","2147","5422","－","－","－","－","－","547"
"臺東縣各機關","TaitungCountyAgency","3090","2067","1023","2782","－","－","－","－","－","308"
"花蓮縣各機關","HualienCountyAgency","3491","2252","1239","3132","－","－","－","－","－","359"
"澎湖縣各機關","PenghuCountyAgency","1828","1352","476","1768","12","－","12","－","－","48"
"基隆市各機關","KeelungCityAgency","2858","1864","994","2480","30","－","30","－","60","288"
"新竹市各機關","HsinchuCityAgency","2399","1505","894","2103","－","－","－","－","－","296"
"臺中市各機關","TaichungCityAgency","5829","4127","1702","5355","－","－","－","－","－","474"
"嘉義市各機關","ChiayiCityAgency","1936","1307","629","1804","－","－","－","－","－","132"
"臺南市各機關","TainanCityAgency","4072","2728","1344","3679","－","－","－","－","－","393"
"金門縣各機關","KinmenCountyAgency","1116","861","255","989","54","47","7","－","－","73"
"連江縣各機關","LienchiangCountyAgency","246","193","53","166","37","22","15","－","22","21"
