"縣市別","County(City)","總計 Grand Total","18-25歲 Years","25-30歲 Years","30-35歲 Years","35-40歲 Years","40-45歲 Years","45-50歲 Years","50-55歲 Years","55-60歲 Years","60-65歲 Years","65歲以上 65 Years and over","平均年齡(歲) Average Age (Year)","平均年資(年) Average Seniority (Year)"
"中央各機關","CentralGovernmentAgency","185960","1011","8447","18374","28872","32868","35330","30912","20788","8123","1235","44.79","18.02"
"地方各機關","LocalGovernmentAgency","150882","3872","9822","19663","34107","30515","28083","16639","6432","1588","161","41.02","15.52"
"臺北市各機關","TaipeiCityAgency","28051","539","2272","4676","5640","4903","4881","3369","1395","354","22","40.82","14.61"
"高雄市各機關","KaohsiungCityAgency","12194","80","584","1277","2534","2657","2733","1617","563","139","10","42.48","17.34"
"臺北縣各機關","TaipeiCountyAgency","15562","1215","1934","2576","3286","2459","2211","1321","464","87","9","38.05","12.74"
"宜蘭縣各機關","YilanCountyAgency","3636","90","147","416","936","817","690","391","123","21","5","41.17","15.07"
"桃園縣各機關","TaoyuanCountyAgency","8782","621","846","1469","1983","1467","1371","727","233","59","6","38.52","13.50"
"新竹縣各機關","HsinchuCountyAgency","3305","133","203","410","737","628","631","383","140","35","5","40.91","14.81"
"苗栗縣各機關","MiaoliCountyAgency","3810","59","207","364","901","771","786","477","175","62","8","42.14","16.19"
"臺中縣各機關","TaichungCountyAgency","7907","159","395","1016","2024","1747","1417","725","337","74","13","41.03","15.53"
"彰化縣各機關","ChanghuaCountyAgency","7432","100","337","834","1955","1676","1408","758","270","86","8","41.43","16.38"
"南投縣各機關","NantouCountyAgency","4231","62","229","368","948","1030","879","463","194","54","4","42.06","16.58"
"雲林縣各機關","YunlinCountyAgency","4945","40","244","479","1112","1091","978","634","270","85","12","42.51","16.64"
"嘉義縣各機關","ChiayiCountyAgency","4251","49","249","485","967","951","834","461","192","54","9","41.68","16.14"
"臺南縣各機關","TainanCountyAgency","6821","54","261","765","1757","1500","1324","765","325","67","3","41.92","16.59"
"高雄縣各機關","KaohsiungCountyAgency","7121","81","330","741","1764","1676","1409","756","297","61","6","41.69","16.35"
"屏東縣各機關","PingtungCountyAgency","5969","52","211","504","1187","1483","1372","737","319","94","10","42.97","16.97"
"臺東縣各機關","TaitungCountyAgency","3090","27","125","302","739","691","667","360","146","31","2","42.24","16.33"
"花蓮縣各機關","HualienCountyAgency","3491","80","140","327","714","797","793","471","136","30","3","42.25","16.25"
"澎湖縣各機關","PenghuCountyAgency","1828","4","63","219","557","362","347","189","69","17","1","41.49","16.70"
"基隆市各機關","KeelungCityAgency","2858","48","154","371","624","537","547","394","154","26","3","41.85","16.37"
"新竹市各機關","HsinchuCityAgency","2399","72","130","366","555","480","421","249","104","20","2","40.70","15.77"
"臺中市各機關","TaichungCityAgency","5829","246","445","858","1517","1151","901","474","186","43","8","39.54","15.54"
"嘉義市各機關","ChiayiCityAgency","1936","20","83","203","465","458","397","227","63","18","2","41.91","17.47"
"臺南市各機關","TainanCityAgency","4072","24","142","420","1009","979","878","418","165","31","6","42.04","17.31"
"金門縣各機關","KinmenCountyAgency","1116","11","75","177","169","162","158","226","98","36","4","43.25","17.65"
"連江縣各機關","LienchiangCountyAgency","246","6","16","40","27","42","50","47","14","4","－","42.65","17.38"
