"縣市別","County(City)","總計 Grand Total","計 Total","博士 Ph.D. Degree","碩士 M.A. Degree","大學 University","專科 College","高中(高職) High (Vocational) School","國中初中初職以下 Junior High School & Under"
"總計","GrandTotal","336842","261713","2487","34951","110211","114064","70889","4240"
"中央各機關","CentralGovernmentAgency","185960","149808","2286","24882","68886","53754","32305","3847"
"地方各機關","LocalGovernmentAgency","150882","111905","201","10069","41325","60310","38584","393"
"臺北市各機關","TaipeiCityAgency","28051","23341","82","3142","9758","10359","4659","51"
"高雄市各機關","KaohsiungCityAgency","12194","9171","24","1204","3752","4191","3010","13"
"臺北縣各機關","TaipeiCountyAgency","15562","11869","12","835","4361","6661","3663","30"
"宜蘭縣各機關","YilanCountyAgency","3636","2626","4","187","839","1596","997","13"
"桃園縣各機關","TaoyuanCountyAgency","8782","6757","8","455","2270","4024","2008","17"
"新竹縣各機關","HsinchuCountyAgency","3305","2499","1","197","938","1363","793","13"
"苗栗縣各機關","MiaoliCountyAgency","3810","2689","3","170","910","1606","1105","16"
"臺中縣各機關","TaichungCountyAgency","7907","5954","7","389","2041","3517","1930","23"
"彰化縣各機關","ChanghuaCountyAgency","7432","5329","3","364","1817","3145","2087","16"
"南投縣各機關","NantouCountyAgency","4231","2927","2","229","911","1785","1294","10"
"雲林縣各機關","YunlinCountyAgency","4945","3420","6","196","1160","2058","1501","24"
"嘉義縣各機關","ChiayiCountyAgency","4251","2952","3","217","1022","1710","1291","8"
"臺南縣各機關","TainanCountyAgency","6821","4778","11","364","1903","2500","2025","18"
"高雄縣各機關","KaohsiungCountyAgency","7121","4726","9","425","1710","2582","2375","20"
"屏東縣各機關","PingtungCountyAgency","5969","3818","4","214","1415","2185","2125","26"
"臺東縣各機關","TaitungCountyAgency","3090","1960","2","130","577","1251","1125","5"
"花蓮縣各機關","HualienCountyAgency","3491","2363","2","133","621","1607","1124","4"
"澎湖縣各機關","PenghuCountyAgency","1828","1141","1","74","339","727","679","8"
"基隆市各機關","KeelungCityAgency","2858","2086","2","160","742","1182","767","5"
"新竹市各機關","HsinchuCityAgency","2399","1844","4","170","705","965","553","2"
"臺中市各機關","TaichungCityAgency","5829","4319","5","367","1541","2406","1502","8"
"嘉義市各機關","ChiayiCityAgency","1936","1413","2","113","504","794","521","2"
"臺南市各機關","TainanCityAgency","4072","2944","2","228","1127","1587","1127","1"
"金門縣各機關","KinmenCountyAgency","1116","826","2","91","299","434","244","46"
"連江縣各機關","LienchiangCountyAgency","246","153","－","15","63","75","79","14"
