"縣市別","County(City)","總計 Grand Total","計 Total","博士 Ph.D. Degree","碩士 M.A. Degree","大學 University","專科 College","高中(高職) High (Vocational) School","國中初中初職以下 Junior High School & Under"
"總計","GrandTotal","343861","293392","3593","57609","136508","95682","48060","2409"
"中央各機關","CentralGovernmentAgency","187670","162137","3181","38481","78629","41846","23375","2158"
"地方各機關","LocalGovernmentAgency","156191","131255","412","19128","57879","53836","24685","251"
"新北市各機關","NewTaipeiCityAgency","18465","16373","52","2480","7523","6318","2076","16"
"臺北市各機關","TaipeiCityAgency","26089","23092","120","4169","10309","8494","2976","21"
"臺中市各機關","TaichungCityAgency","15298","13006","50","1901","5479","5576","2260","32"
"臺南市各機關","TainanCityAgency","11503","9480","39","1401","4461","3579","2015","8"
"高雄市各機關","KaohsiungCityAgency","19234","15746","64","2827","7270","5585","3470","18"
"宜蘭縣各機關","YilanCountyAgency","3690","3046","5","347","1292","1402","638","6"
"桃園縣各機關","TaoyuanCountyAgency","9727","8409","19","1131","3539","3720","1309","9"
"新竹縣各機關","HsinchuCountyAgency","3451","2905","8","370","1351","1176","537","9"
"苗栗縣各機關","MiaoliCountyAgency","4076","3401","1","404","1468","1528","667","8"
"彰化縣各機關","ChanghuaCountyAgency","7650","6250","7","700","2751","2792","1383","17"
"南投縣各機關","NantouCountyAgency","4272","3355","6","387","1307","1655","906","11"
"雲林縣各機關","YunlinCountyAgency","5111","4159","8","449","1793","1909","936","16"
"嘉義縣各機關","ChiayiCountyAgency","4309","3524","1","425","1528","1570","780","5"
"屏東縣各機關","PingtungCountyAgency","6277","4753","7","468","2151","2127","1500","24"
"臺東縣各機關","TaitungCountyAgency","3148","2410","3","280","935","1192","735","3"
"花蓮縣各機關","HualienCountyAgency","3526","2844","2","278","1069","1495","681","1"
"澎湖縣各機關","PenghuCountyAgency","1765","1319","3","140","567","609","440","6"
"基隆市各機關","KeelungCityAgency","2820","2377","1","259","1001","1116","441","2"
"新竹市各機關","HsinchuCityAgency","2456","2091","10","268","964","849","362","3"
"嘉義市各機關","ChiayiCityAgency","1926","1594","4","226","643","721","332","－"
"金門縣各機關","KinmenCountyAgency","1146","949","2","197","404","346","168","29"
"連江縣各機關","LienchiangCountyAgency","252","172","－","21","74","77","73","7"
