"縣市別","County(City)","總計 Grand Total","計 Total","高等考試 Senior Examination","普通考試 Junior Examination","初等考試 Elementary Examination","特種考試 Special Examination","升等考試 Rank Promotion Examination","其他考試 Other Examination","依其他法令進用 Appointed by Other Decree"
"總計","GrandTotal","343861","290278","53259","19418","5130","143075","67430","1966","53583"
"中央各機關","CentralGovernmentAgency","187670","146661","33941","10124","2129","59165","40217","1085","41009"
"地方各機關","LocalGovernmentAgency","156191","143617","19318","9294","3001","83910","27213","881","12574"
"新北市各機關","NewTaipeiCityAgency","18465","17637","2567","991","298","11157","2578","46","828"
"臺北市各機關","TaipeiCityAgency","26089","22848","4343","2178","534","12325","3232","236","3241"
"臺中市各機關","TaichungCityAgency","15298","14529","2087","932","295","8392","2766","57","769"
"臺南市各機關","TainanCityAgency","11503","10794","1456","770","301","6002","2212","53","709"
"高雄市各機關","KaohsiungCityAgency","19234","17960","2682","1148","527","9561","3970","72","1274"
"宜蘭縣各機關","YilanCountyAgency","3690","3372","376","188","39","1912","842","15","318"
"桃園縣各機關","TaoyuanCountyAgency","9727","9131","1091","546","145","5854","1475","20","596"
"新竹縣各機關","HsinchuCountyAgency","3451","3134","426","189","51","1905","551","12","317"
"苗栗縣各機關","MiaoliCountyAgency","4076","3732","466","230","82","2183","753","18","344"
"彰化縣各機關","ChanghuaCountyAgency","7650","7103","672","469","161","4225","1548","28","547"
"南投縣各機關","NantouCountyAgency","4272","3871","368","215","55","2320","895","18","401"
"雲林縣各機關","YunlinCountyAgency","5111","4567","507","237","91","2664","1039","29","544"
"嘉義縣各機關","ChiayiCountyAgency","4309","3898","419","210","97","2359","804","9","411"
"屏東縣各機關","PingtungCountyAgency","6277","5581","540","399","116","3335","1151","40","696"
"臺東縣各機關","TaitungCountyAgency","3148","2750","221","69","22","1870","549","19","398"
"花蓮縣各機關","HualienCountyAgency","3526","3148","212","94","27","2114","685","16","378"
"澎湖縣各機關","PenghuCountyAgency","1765","1635","86","38","6","1085","406","14","130"
"基隆市各機關","KeelungCityAgency","2820","2557","245","129","37","1571","560","15","263"
"新竹市各機關","HsinchuCityAgency","2456","2303","302","122","51","1386","435","7","153"
"嘉義市各機關","ChiayiCityAgency","1926","1802","165","111","59","1094","361","12","124"
"金門縣各機關","KinmenCountyAgency","1146","1059","69","23","7","509","342","109","87"
"連江縣各機關","LienchiangCountyAgency","252","206","18","6","－","87","59","36","46"
