"性別及年齡別","Sex & Age","總計 Grand Total","0-5年 Years","5-10年 Years","10-15年 Years","15年 Years","16年 Years","17年 Years","18年 Years","19年 Years","20年 Years","21年 Years","22年 Years","23年 Years","24年 Years","25年 Years","26年 Years","27年 Years","28年 Years","29年 Years","30年以上 30 Years & Over"
"總計","GrandTotal","343861","61956","39360","34155","6814","11867","11317","12529","14622","14207","15027","15624","17374","13883","7232","8308","7654","8117","5895","37920"
"男性","Male","206784","33888","22111","17221","3764","5404","5898","7575","9566","8498","9642","8990","11501","10708","5018","6040","5373","5250","3849","26488"
"女性","Female","137077","28068","17249","16934","3050","6463","5419","4954","5056","5709","5385","6634","5873","3175","2214","2268","2281","2867","2046","11432"
"18-25歲","Years","6074","6070","4","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－"
"25-30歲","Years","26166","21130","5032","4","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－"
"30-35歲","Years","40488","21281","15541","3648","15","3","－","－","－","－","－","－","－","－","－","－","－","－","－","－"
"35-40歲","Years","45551","7757","10587","12987","2042","2760","2971","3182","2303","942","16","4","－","－","－","－","－","－","－","－"
"40-45歲","Years","65143","3275","4701","10373","2806","4546","4184","4854","5407","5578","5243","3109","6059","4528","450","28","－","1","1","－"
"45歲","Years","12384","350","577","1211","340","637","595","834","992","1100","1212","1360","933","799","798","613","30","3","－","－"
"46歲","Years","13073","310","526","996","242","523","535","729","1028","1164","1260","1409","1010","762","865","993","676","44","1","－"
"47歲","Years","12747","293","377","856","231","449","398","610","839","986","1196","1426","1099","992","589","769","928","641","54","14"
"48歲","Years","12583","255","312","650","159","404","366","439","645","915","1196","1375","1227","1155","554","569","584","911","472","395"
"49歲","Years","13107","197","299","571","163","369","276","344","588","720","1000","1362","1207","1123","629","820","724","737","902","1076"
"50歲","Years","11325","158","201","407","151","330","254","264","479","563","803","1139","1049","959","610","773","718","633","492","1342"
"51歲","Years","10349","125","172","349","93","291","220","237","375","480","621","935","950","816","547","725","773","766","407","1467"
"52歲","Years","9839","124","154","281","85","238","204","237","331","372","570","815","795","708","548","684","712","831","552","1598"
"53歲","Years","9016","97","114","274","83","228","217","160","334","303","411","592","660","523","449","604","641","812","579","1935"
"54歲","Years","8399","105","126","237","65","198","174","122","274","224","345","472","518","399","328","468","535","745","559","2505"
"55歲","Years","7590","86","82","200","54","156","155","102","219","195","270","367","393","302","239","396","382","592","505","2895"
"56歲","Years","6333","76","93","188","48","141","138","87","206","153","214","311","348","170","159","266","265","378","315","2777"
"57歲","Years","6182","54","81","160","45","129","128","99","166","141","175","258","299","194","117","154","206","292","314","3170"
"58歲","Years","5445","55","70","155","28","107","94","63","138","107","144","209","236","129","79","122","147","227","225","3110"
"59歲","Years","4899","37","71","126","36","115","99","52","102","93","110","175","180","124","74","97","113","167","155","2973"
"60歲","Years","4293","30","54","133","35","67","86","34","67","64","86","103","138","67","58","85","67","114","134","2871"
"61歲","Years","4126","18","55","111","31","65","86","34","46","42","78","74","99","52","50","58","66","89","91","2981"
"62歲","Years","3140","24","41","93","18","41","44","20","25","23","33","50","79","27","38","36","46","64","55","2383"
"63歲","Years","2627","13","29","59","19","39","46","13","31","13","19","39","49","29","29","26","18","42","56","2058"
"64歲","Years","2096","12","33","66","18","22","28","11","20","23","21","30","34","19","14","18","17","22","18","1670"
"65歲","Years","679","6","10","12","4","7","18","2","4","5","4","7","12","6","6","4","6","6","6","554"
"66歲以上","66Years&Over","207","18","18","8","3","2","1","－","3","1","－","3","－","－","2","－","－","－","2","146"
