"縣市別","County(City)","總計 Grand Total","18-25歲 Years","25-30歲 Years","30-35歲 Years","35-40歲 Years","40-45歲 Years","45-50歲 Years","50-55歲 Years","55-60歲 Years","60-65歲 Years","65歲以上 65 Years and over","平均年齡(歲) Average Age (Year)","平均年資(年) Average Seniority (Year)"
"中央各機關","CentralGovernmentAgency","187670","1366","11318","20635","23159","30950","33940","30036","22153","13381","732","45.05","17.77"
"地方各機關","LocalGovernmentAgency","156191","4708","14848","19853","22392","34193","29954","18892","8296","2901","154","41.38","15.43"
"新北市各機關","NewTaipeiCityAgency","18465","1438","3091","3353","2551","3066","2464","1577","721","198","6","37.78","11.53"
"臺北市各機關","TaipeiCityAgency","26089","773","2658","3637","3942","4817","4434","3353","1775","658","42","41.43","14.97"
"臺中市各機關","TaichungCityAgency","15298","402","1565","1926","2300","3675","2939","1625","598","255","13","40.95","15.52"
"臺南市各機關","TainanCityAgency","11503","158","815","1208","1731","2936","2488","1422","532","201","12","42.30","16.77"
"高雄市各機關","KaohsiungCityAgency","19234","443","1242","2079","2817","4471","4195","2641","1016","321","9","42.41","16.84"
"宜蘭縣各機關","YilanCountyAgency","3690","70","298","379","472","937","826","437","212","55","4","42.26","15.77"
"桃園縣各機關","TaoyuanCountyAgency","9727","395","1278","1515","1596","2004","1482","949","389","115","4","39.44","13.65"
"新竹縣各機關","HsinchuCountyAgency","3451","103","358","469","478","753","599","435","180","73","3","41.16","14.67"
"苗栗縣各機關","MiaoliCountyAgency","4076","101","332","506","576","947","791","506","227","81","9","41.92","15.49"
"彰化縣各機關","ChanghuaCountyAgency","7650","157","616","827","1077","1998","1639","885","330","111","10","41.87","16.36"
"南投縣各機關","NantouCountyAgency","4272","78","243","411","501","1050","1048","611","228","97","5","43.21","17.39"
"雲林縣各機關","YunlinCountyAgency","5111","69","407","574","664","1198","1089","673","311","114","12","42.59","16.55"
"嘉義縣各機關","ChiayiCountyAgency","4309","69","328","554","570","1002","953","508","234","86","5","42.18","16.19"
"屏東縣各機關","PingtungCountyAgency","6277","95","346","625","814","1431","1535","878","381","166","6","43.32","16.97"
"臺東縣各機關","TaitungCountyAgency","3148","74","235","320","415","743","675","456","174","55","1","42.50","16.28"
"花蓮縣各機關","HualienCountyAgency","3526","77","292","371","434","766","775","508","237","62","4","42.64","16.04"
"澎湖縣各機關","PenghuCountyAgency","1765","15","80","125","229","545","363","259","114","33","2","43.71","18.93"
"基隆市各機關","KeelungCityAgency","2820","75","240","296","386","633","527","383","197","80","3","42.42","16.51"
"新竹市各機關","HsinchuCityAgency","2456","80","215","328","359","528","470","301","131","42","2","41.36","15.75"
"嘉義市各機關","ChiayiCityAgency","1926","23","125","184","268","481","454","284","84","23","－","42.75","17.74"
"金門縣各機關","KinmenCountyAgency","1146","10","72","142","175","174","164","150","188","69","2","44.60","18.51"
"連江縣各機關","LienchiangCountyAgency","252","3","12","24","37","38","44","51","37","6","－","45.07","19.88"
