"性別及年齡別","Sex & Age","總計 Grand Total","0-5年 Years","5-10年 Years","10-15年 Years","15年 Years","16年 Years","17年 Years","18年 Years","19年 Years","20年 Years","21年 Years","22年 Years","23年 Years","24年 Years","25年 Years","26年 Years","27年 Years","28年 Years","29年 Years","30年以上 30 Years & Over"
"總計","GrandTotal","340106","54637","33769","39974","11564","12619","14636","14224","15277","15938","17636","14720","8016","9701","9080","9838","7458","8168","8525","34326"
"男性","Male","208260","31738","17865","19758","6019","7634","9530","8485","9801","9202","11690","11497","5557","6918","6282","6271","4824","5003","5764","24422"
"女性","Female","131846","22899","15904","20216","5545","4985","5106","5739","5476","6736","5946","3223","2459","2783","2798","3567","2634","3165","2761","9904"
"18-25歲","Years","5121","5119","2","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－"
"25-30歲","Years","24982","21250","3728","4","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－"
"30-35歲","Years","34209","17011","12067","4813","309","9","－","－","－","－","－","－","－","－","－","－","－","－","－","－"
"35-40歲","Years","51521","6257","9763","15300","4322","4954","4508","3303","1759","683","670","2","－","－","－","－","－","－","－","－"
"40-45歲","Years","66415","2844","4758","11423","3689","4593","5151","5381","5834","5115","7104","6005","2106","1654","706","50","2","－","－","－"
"45歲","Years","12690","322","577","1268","406","623","848","981","1214","1414","1069","980","589","771","924","634","55","13","1","1"
"46歲","Years","12481","254","465","999","366","434","648","905","1212","1376","1207","1135","554","566","587","907","472","379","8","7"
"47歲","Years","13012","231","381","922","278","349","588","716","1016","1355","1182","1117","631","825","712","740","910","683","356","20"
"48歲","Years","12905","180","281","771","259","278","478","576","834","1168","1052","1066","652","922","913","809","714","718","717","517"
"49歲","Years","12858","160","241","636","226","244","374","492","641","986","999","974","666","945","1071","1074","602","499","966","1062"
"50歲","Years","11490","160","193","513","215","244","331","366","600","858","830","826","645","853","879","1062","719","551","585","1060"
"51歲","Years","10384","125","179","507","225","163","331","314","442","609","706","621","538","739","767","971","718","865","535","1029"
"52歲","Years","9667","120","172","433","179","126","276","235","355","496","570","499","394","581","639","880","668","910","855","1279"
"53歲","Years","8923","88","149","346","160","106","215","203","293","380","428","341","300","503","468","734","631","771","937","1870"
"54歲","Years","9081","93","117","342","157","92","208","157","235","325","401","268","246","441","425","622","517","746","945","2744"
"55歲","Years","7992","82","107","310","138","105","165","144","191","280","333","258","164","244","295","411","440","632","786","2907"
"56歲","Years","6036","68","106","244","100","63","140","115","153","226","255","155","113","164","169","269","255","374","467","2600"
"57歲","Years","5618","57","101","233","111","57","101","99","122","183","200","162","112","128","142","203","200","301","379","2727"
"58歲","Years","5379","45","95","207","104","46","88","83","110","155","179","101","83","126","99","160","186","243","346","2923"
"59歲","Years","5344","38","90","197","113","53","66","61","115","126","153","76","78","89","118","123","129","201","245","3273"
"60歲","Years","4018","34","69","147","57","29","48","32","57","68","108","46","58","62","65","73","78","107","154","2726"
"61歲","Years","3382","29","40","125","56","18","39","16","30","54","74","40","39","39","32","54","75","72","84","2466"
"62歲","Years","2653","25","43","101","36","13","22","24","27","37","55","25","17","24","28","31","34","53","71","1987"
"63歲","Years","2070","12","16","70","29","6","5","10","16","22","39","16","14","14","23","19","29","29","48","1653"
"64歲","Years","1349","16","15","47","25","6","3","8","18","14","18","3","14","7","15","10","19","14","25","1072"
"65歲","Years","366","7","5","11","4","4","1","3","3","5","4","4","3","4","3","2","5","6","13","279"
"66歲以上","66Years&Over","160","10","9","5","－","4","2","－","－","3","－","－","－","－","－","－","－","1","2","124"
