"縣市別","County(City)","總計 Grand Total","計 Total","高等考試 Senior Examination","普通考試 Junior Examination","初等考試 Elementary Examination","特種考試 Special Examination","升等考試 Rank Promotion Examination","其他考試 Other Examination","依其他法令進用 Appointed by Other Decree"
"總計","GrandTotal","340106","284935","48004","19603","4495","144601","65544","2688","55171"
"中央各機關","CentralGovernmentAgency","186381","145757","31495","10432","1922","60639","39955","1314","40624"
"地方各機關","LocalGovernmentAgency","153725","139178","16509","9171","2573","83962","25589","1374","14547"
"臺北市各機關","TaipeiCityAgency","27956","22824","4275","2246","535","12138","3273","357","5132"
"高雄市各機關","KaohsiungCityAgency","12026","11053","1775","771","329","5556","2510","112","973"
"臺北縣各機關","TaipeiCountyAgency","17772","16944","2108","942","221","11211","2396","66","828"
"宜蘭縣各機關","YilanCountyAgency","3626","3343","351","185","43","1940","801","23","283"
"桃園縣各機關","TaoyuanCountyAgency","8806","8262","791","505","113","5517","1289","47","544"
"新竹縣各機關","HsinchuCountyAgency","3386","3024","351","179","45","1924","507","18","362"
"苗栗縣各機關","MiaoliCountyAgency","3999","3611","371","230","61","2247","674","28","388"
"臺中縣各機關","TaichungCountyAgency","7930","7427","832","500","116","4343","1588","48","503"
"彰化縣各機關","ChanghuaCountyAgency","7464","6950","590","488","139","4221","1464","48","514"
"南投縣各機關","NantouCountyAgency","4252","3860","331","225","51","2364","864","25","392"
"雲林縣各機關","YunlinCountyAgency","5090","4525","401","228","84","2764","1008","40","565"
"嘉義縣各機關","ChiayiCountyAgency","4274","3863","382","220","82","2417","749","13","411"
"臺南縣各機關","TainanCountyAgency","6991","6507","711","467","167","3823","1293","46","484"
"高雄縣各機關","KaohsiungCountyAgency","7220","6598","657","439","129","4121","1207","45","622"
"屏東縣各機關","PingtungCountyAgency","6110","5409","439","424","96","3355","1032","63","701"
"臺東縣各機關","TaitungCountyAgency","3070","2674","200","77","18","1822","532","25","396"
"花蓮縣各機關","HualienCountyAgency","3486","3097","162","90","20","2132","664","29","389"
"澎湖縣各機關","PenghuCountyAgency","1780","1629","75","40","4","1115","379","16","151"
"基隆市各機關","KeelungCityAgency","2769","2546","222","140","30","1605","526","23","223"
"新竹市各機關","HsinchuCityAgency","2426","2284","261","134","47","1401","417","24","142"
"臺中市各機關","TaichungCityAgency","5919","5763","557","286","96","3842","940","42","156"
"嘉義市各機關","ChiayiCityAgency","1910","1804","159","117","47","1102","361","18","106"
"臺南市各機關","TainanCityAgency","4053","3909","434","215","94","2405","721","40","144"
"金門縣各機關","KinmenCountyAgency","1152","1060","57","17","6","503","338","139","92"
"連江縣各機關","LienchiangCountyAgency","258","212","17","6","－","94","56","39","46"
