"縣市別","County(City)","總計 Grand Total","計 Total","博士 Ph.D. Degree","碩士 M.A. Degree","大學 University","專科 College","高中(高職) High (Vocational) School","國中初中初職以下 Junior High School & Under"
"總計","GrandTotal","340106","280959","3150","48241","125430","104138","56321","2826"
"中央各機關","CentralGovernmentAgency","186381","156996","2878","32785","74425","46908","26861","2524"
"地方各機關","LocalGovernmentAgency","153725","123963","272","15456","51005","57230","29460","302"
"臺北市各機關","TaipeiCityAgency","27956","24429","95","4198","10822","9314","3495","32"
"高雄市各機關","KaohsiungCityAgency","12026","9639","37","1671","4237","3694","2382","5"
"臺北縣各機關","TaipeiCountyAgency","17772","15001","26","1890","6450","6635","2749","22"
"宜蘭縣各機關","YilanCountyAgency","3626","2886","4","293","1123","1466","733","7"
"桃園縣各機關","TaoyuanCountyAgency","8806","7305","8","741","2821","3735","1492","9"
"新竹縣各機關","HsinchuCountyAgency","3386","2758","2","301","1180","1275","617","11"
"苗栗縣各機關","MiaoliCountyAgency","3999","3166","3","274","1258","1631","823","10"
"臺中縣各機關","TaichungCountyAgency","7930","6474","8","639","2461","3366","1426","30"
"彰化縣各機關","ChanghuaCountyAgency","7464","5837","5","543","2292","2997","1605","22"
"南投縣各機關","NantouCountyAgency","4252","3184","4","333","1123","1724","1058","10"
"雲林縣各機關","YunlinCountyAgency","5090","3941","8","353","1549","2031","1133","16"
"嘉義縣各機關","ChiayiCountyAgency","4274","3310","3","327","1327","1653","960","4"
"臺南縣各機關","TainanCountyAgency","6991","5453","12","615","2438","2388","1524","14"
"高雄縣各機關","KaohsiungCountyAgency","7220","5286","15","650","2238","2383","1918","16"
"屏東縣各機關","PingtungCountyAgency","6110","4355","6","357","1833","2159","1735","20"
"臺東縣各機關","TaitungCountyAgency","3070","2186","1","226","750","1209","877","7"
"花蓮縣各機關","HualienCountyAgency","3486","2691","2","223","825","1641","793","2"
"澎湖縣各機關","PenghuCountyAgency","1780","1287","2","117","381","787","486","7"
"基隆市各機關","KeelungCityAgency","2769","2283","3","216","880","1184","483","3"
"新竹市各機關","HsinchuCityAgency","2426","1988","7","218","880","883","435","3"
"臺中市各機關","TaichungCityAgency","5919","4736","9","557","1766","2404","1181","2"
"嘉義市各機關","ChiayiCityAgency","1910","1507","1","176","581","749","403","－"
"臺南市各機關","TainanCityAgency","4053","3163","10","358","1345","1450","887","3"
"金門縣各機關","KinmenCountyAgency","1152","922","1","156","370","395","195","35"
"連江縣各機關","LienchiangCountyAgency","258","176","－","24","75","77","70","12"
