"縣市別","County(City)","總計 Grand Total","男性 Male","女性 Female","行政機關 Administrative Agency","計 Total","生產事業 Production Enterprise","交通事業 Transportation Enterprise","金融事業 Financial Enterprise","衛生醫療機構 Hygien & Medical Service Org.","公立學校(職員) Public School (Staff)"
"總計","GrandTotal","340106","208260","131846","225351","69277","21915","33504","13858","20123","25355"
"中央各機關","CentralGovernmentAgency","186381","113207","73174","93060","66635","21196","31646","13793","17084","9602"
"地方各機關","LocalGovernmentAgency","153725","95053","58672","132291","2642","719","1858","65","3039","15753"
"臺北市各機關","TaipeiCityAgency","27956","15861","12095","20534","2370","624","1690","56","2080","2972"
"高雄市各機關","KaohsiungCityAgency","12026","7287","4739","10023","94","－","85","9","681","1228"
"臺北縣各機關","TaipeiCountyAgency","17772","11307","6465","15954","－","－","－","－","197","1621"
"宜蘭縣各機關","YilanCountyAgency","3626","2180","1446","3193","－","－","－","－","－","433"
"桃園縣各機關","TaoyuanCountyAgency","8806","5517","3289","7698","－","－","－","－","－","1108"
"新竹縣各機關","HsinchuCountyAgency","3386","1920","1466","2956","28","28","－","－","－","402"
"苗栗縣各機關","MiaoliCountyAgency","3999","2477","1522","3575","－","－","－","－","－","424"
"臺中縣各機關","TaichungCountyAgency","7930","4775","3155","6980","－","－","－","－","－","950"
"彰化縣各機關","ChanghuaCountyAgency","7464","4677","2787","6772","－","－","－","－","－","692"
"南投縣各機關","NantouCountyAgency","4252","2716","1536","3854","－","－","－","－","－","398"
"雲林縣各機關","YunlinCountyAgency","5090","3051","2039","4533","－","－","－","－","－","557"
"嘉義縣各機關","ChiayiCountyAgency","4274","2707","1567","3871","13","－","13","－","－","390"
"臺南縣各機關","TainanCountyAgency","6991","4450","2541","6289","－","－","－","－","－","702"
"高雄縣各機關","KaohsiungCountyAgency","7220","4551","2669","6410","－","－","－","－","－","810"
"屏東縣各機關","PingtungCountyAgency","6110","3807","2303","5531","－","－","－","－","－","579"
"臺東縣各機關","TaitungCountyAgency","3070","1979","1091","2763","－","－","－","－","－","307"
"花蓮縣各機關","HualienCountyAgency","3486","2190","1296","3113","－","－","－","－","－","373"
"澎湖縣各機關","PenghuCountyAgency","1780","1297","483","1707","13","－","13","－","－","60"
"基隆市各機關","KeelungCityAgency","2769","1747","1022","2405","31","－","31","－","52","281"
"新竹市各機關","HsinchuCityAgency","2426","1456","970","2113","－","－","－","－","－","313"
"臺中市各機關","TaichungCityAgency","5919","4147","1772","5422","－","－","－","－","－","497"
"嘉義市各機關","ChiayiCityAgency","1910","1239","671","1762","－","－","－","－","－","148"
"臺南市各機關","TainanCityAgency","4053","2659","1394","3652","－","－","－","－","－","401"
"金門縣各機關","KinmenCountyAgency","1152","859","293","1015","56","47","9","－","－","81"
"連江縣各機關","LienchiangCountyAgency","258","197","61","166","37","20","17","－","29","26"
