"官等別","Rank","總計 Grand Total","中央各機關 Central Government Agency","臺灣各縣市機關 Local County(City) Agency","新北市各機關 New Taipei City Agency","台北市各機關 Taipei City Agency","臺中市各機關 Taichung City Agency","臺南市各機關 Tainan City Agency","高雄市各機關 Kaohsiung City Agency","金門縣,連江縣各機關 Kinmen & Lienchiang County Agency"
"總計","GrandTotal","340106","186381","112333","27956","12026","1410"
"政務人員","PoliticalAppointee","389","216","119","25","23","6"
"特任(派)","SpeciallyAppointmentRank","144","144","－","－","－","－"
"比照簡任十四職等","EquivalenttoGrade14","49","46","－","1","2","－"
"比照簡任十三職等","EquivalenttoGrade13","105","26","33","24","21","1"
"比照簡任十二職等","EquivalenttoGrade12","91","－","86","－","－","5"
"民選機關首長","ElectedAgencyChief","344","－","330","1","1","12"
"直轄市長","Mayor","2","－","－","1","1","－"
"縣(市)長","Magistrate","23","－","21","－","－","2"
"鄉(鎮、市)長","Alcalde","319","－","309","－","－","10"
"簡薦委任(派)人員","RankingServant","183128","92259","63851","18643","7417","958"
"簡任","SeniorRank","9210","8002","728","280","151","49"
"簡派","SeniorDetail","275","206","－","65","4","－"
"薦任","JuniorRank","105872","51433","39574","9726","4630","509"
"薦派","JuniorDetail","2572","1514","8","936","114","－"
"委任","ElementaryRank","62215","29006","22975","7379","2459","396"
"委派","ElementaryDetail","760","590","3","145","22","－"
"雇員","AuxiliaryEmployee","2224","1508","563","112","37","4"
"警察人員","PoliceOfficials","73222","14109","47790","6902","4014","407"
"警監","SelectedRank","234","163","46","12","9","4"
"Endof2010","Unit：Person"
"官等別Rank","總計","中央各機關","臺灣各縣市機關","臺北市各機關","高雄市各機關","金門連江縣各機關"
"GrandTotal","CentralGovernmentAgency","LocalCounty(City)Agency","TaipeiCityAgency","KaohsiungCityAgency","Kinmen&LienchiangCountyAgency"
"分類職位人員","CategorizedPositionPersonnel","21441","20842","28","571","－","－"
"13職等6級以上(12至14職等)","Grade13,Level6&Over(Grade12to14)","755","744","－","11","－","－"
"7至13職等5級(8至11職等)","Grade7to13,underLevel5(Grade8to11)","17275","16746","17","512","－","－"
"1至6職等(3至7職等)","Grade1to6(Grade3to7)","3411","3352","11","48","－","－"
"資位人員","RankPersonnel","30850","30850","－","－","－","－"
"長級","SeniorLevel","86","86","－","－","－","－"
"副長級","Sub-seniorLevel","659","659","－","－","－","－"
"高員級","JuniorLevel","5140","5140","－","－","－","－"
"員級","ElementaryLevel","6173","6173","－","－","－","－"
"佐級","AssistantLevel","13912","13912","－","－","－","－"
"士級","BasicLevel","4880","4880","－","－","－","－"
"金融人員","FinancialPersonnel","13775","13775","－","－","－","－"
"14(13)職等以上","Grade14(13)&over","284","284","－","－","－","－"
"8至13(8至12)職等","Grade8to13(Grade8to12)","10419","10419","－","－","－","－"
"6職等至7職等","Grade6to7","2310","2310","－","－","－","－"
"5職等","Grade5","762","762","－","－","－","－"
"醫事人員","MedicalPersonnel","16957","14330","215","1814","571","27"
"師(一)級","SeniorGrade1","432","398","2","15","16","1"
"師(二)級","SeniorGrade2","2746","2298","38","284","125","1"
"師(三)級","SeniorGrade3","8096","6654","114","1071","240","17"
"士(生)級","Junior","5683","4980","61","444","190","8"
"Source:AllCivilServantsDatabase."
"Note:ThegradingintheparenthesisofCategorizedPositionPersonnelisusedinthestaffsofproductenterprisemanagedby"
"county(city)government.ThegradingintheparenthesisofFinancialPersonnelisusedintheCentralBankstaffs."
