"縣市別","County(City)","總計 Grand Total","計 Total","博士 Ph.D. Degree","碩士 M.A. Degree","大學 University","專科 College","高中(高職) High (Vocational) School","國中初中初職以下 Junior High School & Under"
"總計","GrandTotal","339875","274246","2906","43101","120109","108130","62255","3374"
"中央各機關","CentralGovernmentAgency","186874","154536","2657","29603","72744","49532","29287","3051"
"地方各機關","LocalGovernmentAgency","153001","119710","249","13498","47365","58598","32968","323"
"臺北市各機關","TaipeiCityAgency","27993","24067","91","3927","10518","9531","3892","34"
"高雄市各機關","KaohsiungCityAgency","12036","9465","36","1521","4054","3854","2565","6"
"臺北縣各機關","TaipeiCountyAgency","17004","13926","22","1541","5573","6790","3047","31"
"宜蘭縣各機關","YilanCountyAgency","3546","2719","2","239","979","1499","819","8"
"桃園縣各機關","TaoyuanCountyAgency","8910","7217","7","638","2654","3918","1679","14"
"新竹縣各機關","HsinchuCountyAgency","3369","2665","1","262","1085","1317","692","12"
"苗栗縣各機關","MiaoliCountyAgency","3908","2950","3","233","1097","1617","941","17"
"臺中縣各機關","TaichungCountyAgency","7973","6279","7","513","2293","3466","1669","25"
"彰化縣各機關","ChanghuaCountyAgency","7492","5641","6","462","2085","3088","1834","17"
"南投縣各機關","NantouCountyAgency","4289","3116","4","294","1058","1760","1166","7"
"雲林縣各機關","YunlinCountyAgency","5053","3755","7","285","1416","2047","1279","19"
"嘉義縣各機關","ChiayiCountyAgency","4307","3199","5","301","1228","1665","1102","6"
"臺南縣各機關","TainanCountyAgency","6924","5169","12","506","2258","2393","1739","16"
"高雄縣各機關","KaohsiungCountyAgency","7150","5061","10","553","2015","2483","2073","16"
"屏東縣各機關","PingtungCountyAgency","6082","4160","8","310","1659","2183","1904","18"
"臺東縣各機關","TaitungCountyAgency","3072","2083","1","172","692","1218","982","7"
"花蓮縣各機關","HualienCountyAgency","3503","2584","2","184","756","1642","917","2"
"澎湖縣各機關","PenghuCountyAgency","1810","1234","1","102","364","767","569","7"
"基隆市各機關","KeelungCityAgency","2776","2212","5","170","816","1221","562","2"
"新竹市各機關","HsinchuCityAgency","2403","1937","5","191","828","913","465","1"
"臺中市各機關","TaichungCityAgency","5966","4615","5","476","1697","2437","1347","4"
"嘉義市各機關","ChiayiCityAgency","1903","1460","2","152","549","757","442","1"
"臺南市各機關","TainanCityAgency","4123","3123","6","309","1266","1542","996","4"
"金門縣各機關","KinmenCountyAgency","1152","903","1","132","357","413","212","37"
"連江縣各機關","LienchiangCountyAgency","257","170","－","25","68","77","75","12"
