"縣市別","County(City)","總計 Grand Total","男性 Male","女性 Female","行政機關 Administrative Agency","計 Total","生產事業 Production Enterprise","交通事業 Transportation Enterprise","金融事業 Financial Enterprise","衛生醫療機構 Hygien & Medical Service Org.","公立學校(職員) Public School (Staff)"
"總計","GrandTotal","339875","209758","130117","222336","71785","21338","34297","16150","20675","25079"
"中央各機關","CentralGovernmentAgency","186874","114324","72550","90541","69256","20592","32578","16086","17447","9630"
"地方各機關","LocalGovernmentAgency","153001","95434","57567","131795","2529","746","1719","64","3228","15449"
"臺北市各機關","TaipeiCityAgency","27993","15830","12163","20534","2252","641","1556","55","2202","3005"
"高雄市各機關","KaohsiungCityAgency","12036","7338","4698","9987","89","－","80","9","728","1232"
"臺北縣各機關","TaipeiCountyAgency","17004","10893","6111","15204","－","－","－","－","218","1582"
"宜蘭縣各機關","YilanCountyAgency","3546","2119","1427","3112","－","－","－","－","－","434"
"桃園縣各機關","TaoyuanCountyAgency","8910","5689","3221","7838","－","－","－","－","－","1072"
"新竹縣各機關","HsinchuCountyAgency","3369","1945","1424","2951","34","34","－","－","－","384"
"苗栗縣各機關","MiaoliCountyAgency","3908","2473","1435","3532","－","－","－","－","－","376"
"臺中縣各機關","TaichungCountyAgency","7973","4876","3097","7051","－","－","－","－","－","922"
"彰化縣各機關","ChanghuaCountyAgency","7492","4752","2740","6803","－","－","－","－","－","689"
"南投縣各機關","NantouCountyAgency","4289","2762","1527","3897","－","－","－","－","－","392"
"雲林縣各機關","YunlinCountyAgency","5053","3075","1978","4531","－","－","－","－","－","522"
"嘉義縣各機關","ChiayiCountyAgency","4307","2754","1553","3916","14","－","14","－","－","377"
"臺南縣各機關","TainanCountyAgency","6924","4483","2441","6277","－","－","－","－","－","647"
"高雄縣各機關","KaohsiungCountyAgency","7150","4589","2561","6393","－","－","－","－","－","757"
"屏東縣各機關","PingtungCountyAgency","6082","3821","2261","5517","－","－","－","－","－","565"
"臺東縣各機關","TaitungCountyAgency","3072","2000","1072","2758","－","－","－","－","－","314"
"花蓮縣各機關","HualienCountyAgency","3503","2205","1298","3124","－","－","－","－","－","379"
"澎湖縣各機關","PenghuCountyAgency","1810","1327","483","1739","12","－","12","－","－","59"
"基隆市各機關","KeelungCityAgency","2776","1772","1004","2411","30","－","30","－","52","283"
"新竹市各機關","HsinchuCityAgency","2403","1454","949","2092","－","－","－","－","－","311"
"臺中市各機關","TaichungCityAgency","5966","4224","1742","5477","－","－","－","－","－","489"
"嘉義市各機關","ChiayiCityAgency","1903","1264","639","1757","－","－","－","－","－","146"
"臺南市各機關","TainanCityAgency","4123","2726","1397","3717","－","－","－","－","－","406"
"金門縣各機關","KinmenCountyAgency","1152","864","288","1011","60","49","11","－","－","81"
"連江縣各機關","LienchiangCountyAgency","257","199","58","166","38","22","16","－","28","25"
