"縣市別","County(City)","總計 Grand Total","計 Total","高等考試 Senior Examination","普通考試 Junior Examination","初等考試 Elementary Examination","特種考試 Special Examination","升等考試 Rank Promotion Examination","其他考試 Other Examination","依其他法令進用 Appointed by Other Decree"
"總計","GrandTotal","339875","280675","45954","19838","4121","143656","63979","3127","59200"
"中央各機關","CentralGovernmentAgency","186874","143510","30311","10151","1762","60301","39503","1482","43364"
"地方各機關","LocalGovernmentAgency","153001","137165","15643","9687","2359","83355","24476","1645","15836"
"臺北市各機關","TaipeiCityAgency","27993","22736","4248","2356","508","11967","3263","394","5257"
"高雄市各機關","KaohsiungCityAgency","12036","10921","1722","894","308","5684","2131","182","1115"
"臺北縣各機關","TaipeiCountyAgency","17004","15764","1805","975","185","10449","2264","86","1240"
"宜蘭縣各機關","YilanCountyAgency","3546","3277","337","203","36","1879","798","24","269"
"桃園縣各機關","TaoyuanCountyAgency","8910","8336","741","517","102","5664","1259","53","574"
"新竹縣各機關","HsinchuCountyAgency","3369","2998","342","182","39","1941","472","22","371"
"苗栗縣各機關","MiaoliCountyAgency","3908","3471","337","229","52","2171","650","32","437"
"臺中縣各機關","TaichungCountyAgency","7973","7382","771","547","108","4386","1502","68","591"
"彰化縣各機關","ChanghuaCountyAgency","7492","6921","564","499","134","4209","1456","59","571"
"南投縣各機關","NantouCountyAgency","4289","3855","319","229","50","2395","832","30","434"
"雲林縣各機關","YunlinCountyAgency","5053","4440","362","252","73","2737","971","45","613"
"嘉義縣各機關","ChiayiCountyAgency","4307","3862","354","256","74","2462","695","21","445"
"臺南縣各機關","TainanCountyAgency","6924","6390","647","493","158","3809","1224","59","534"
"高雄縣各機關","KaohsiungCountyAgency","7150","6478","603","457","121","4077","1164","56","672"
"屏東縣各機關","PingtungCountyAgency","6082","5320","434","439","85","3332","960","70","762"
"臺東縣各機關","TaitungCountyAgency","3072","2650","191","79","17","1833","505","25","422"
"花蓮縣各機關","HualienCountyAgency","3503","3105","162","95","21","2153","637","37","398"
"澎湖縣各機關","PenghuCountyAgency","1810","1659","72","41","4","1155","370","17","151"
"基隆市各機關","KeelungCityAgency","2776","2549","213","140","25","1630","511","30","227"
"新竹市各機關","HsinchuCityAgency","2403","2271","243","139","40","1426","397","26","132"
"臺中市各機關","TaichungCityAgency","5966","5767","526","291","83","3879","940","48","199"
"嘉義市各機關","ChiayiCityAgency","1903","1785","158","112","43","1094","359","19","118"
"臺南市各機關","TainanCityAgency","4123","3943","422","236","86","2429","723","47","180"
"金門縣各機關","KinmenCountyAgency","1152","1072","55","20","7","503","337","150","80"
"連江縣各機關","LienchiangCountyAgency","257","213","15","6","－","91","56","45","44"
