"性別及年齡別","Sex & Age","總計 Grand Total","0-5年 Years","5-10年 Years","10-15年 Years","15年 Years","16年 Years","17年 Years","18年 Years","19年 Years","20年 Years","21年 Years","22年 Years","23年 Years","24年 Years","25年 Years","26年 Years","27年 Years","28年 Years","29年 Years","30年以上 30 Years & Over"
"總計","GrandTotal","339875","49130","34177","44627","12671","14806","14180","15419","16137","17930","14795","8269","10146","9937","10660","8324","8944","9421","9325","30977"
"男性","Male","209758","28585","17419","22531","7682","9645","8445","9914","9382","11934","11577","5769","7342","6864","6812","5406","5457","6267","6184","22543"
"女性","Female","130117","20545","16758","22096","4989","5161","5735","5505","6755","5996","3218","2500","2804","3073","3848","2918","3487","3154","3141","8434"
"18-25歲","Years","5718","5716","2","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－"
"25-30歲","Years","22202","18720","3481","1","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－"
"30-35歲","Years","33750","14388","12226","6518","602","16","－","－","－","－","－","－","－","－","－","－","－","－","－","－"
"35-40歲","Years","55813","5748","10103","17335","5371","5536","4240","2977","1470","2396","637","－","－","－","－","－","－","－","－","－"
"40-45歲","Years","65753","2604","4903","11429","4212","5047","5419","5848","5792","6637","6214","2723","2453","1687","715","70","－","－","－","－"
"45歲","Years","12508","268","553","1233","436","650","901","1219","1377","1201","1133","557","568","598","917","543","354","－","－","－"
"46歲","Years","13057","256","441","1076","352","590","707","1025","1365","1190","1112","635","822","725","739","937","757","328","－","－"
"47歲","Years","12909","183","341","958","276","477","562","835","1171","1044","1064","646","923","914","811","720","722","783","479","－"
"48歲","Years","12886","177","279","781","246","383","487","649","993","995","970","671","938","1088","1067","603","501","982","993","83"
"49歲","Years","12824","169","227","684","245","330","367","604","875","833","882","681","941","1032","1241","879","693","768","992","381"
"50歲","Years","11319","132","221","669","167","338","301","453","620","710","645","568","800","900","1111","827","962","608","634","653"
"51歲","Years","10396","133","189","582","127","276","237","376","502","569","521","425","627","737","959","737","1012","936","588","863"
"52歲","Years","9556","84","182","472","107","223","200","302","388","433","355","330","533","536","808","689","838","1001","912","1163"
"53歲","Years","9496","92","159","452","94","202","153","240","333","402","273","263","469","465","664","552","782","1000","987","1914"
"54歲","Years","9104","87","142","415","106","164","139","197","286","342","283","187","302","363","496","531","713","897","992","2462"
"55歲","Years","7291","66","132","316","61","143","114","163","232","264","174","124","199","244","341","341","465","614","796","2502"
"56歲","Years","5893","57","107","332","57","102","101","127","191","199","169","116","133","160","216","216","314","400","553","2343"
"57歲","Years","5772","51","108","304","46","92","83","112","159","184","107","80","144","131","184","206","265","361","376","2779"
"58歲","Years","5818","52","98","299","50","70","59","110","137","157","75","85","105","145","150","156","223","259","383","3205"
"59歲","Years","4564","35","84","201","34","56","45","66","82","132","66","69","75","79","90","102","123","169","231","2825"
"60歲","Years","3830","29","59","172","21","43","15","40","57","89","43","45","44","42","66","97","84","103","173","2608"
"61歲","Years","3112","35","62","132","24","33","24","32","40","54","31","20","31","37","34","39","58","82","97","2247"
"62歲","Years","2522","14","28","107","9","10","11","16","29","47","20","16","17","25","23","34","38","61","63","1954"
"63歲","Years","1762","13","24","82","11","14","8","20","19","24","8","15","10","19","12","26","18","35","39","1365"
"64歲","Years","1299","5","10","39","8","5","5","6","10","19","9","9","9","7","10","15","15","23","27","1068"
"65歲","Years","571","2","4","32","6","2","1","2","7","9","3","4","2","3","5","4","7","10","9","459"
"66歲以上","66Years&Over","150","14","12","6","3","4","1","－","2","－","1","－","1","－","1","－","－","1","1","103"
