"縣市別","County(City)","總計 Grand Total","18-25歲 Years","25-30歲 Years","30-35歲 Years","35-40歲 Years","40-45歲 Years","45-50歲 Years","50-55歲 Years","55-60歲 Years","60-65歲 Years","65歲以上 65 Years and over","平均年齡(歲) Average Age (Year)","平均年資(年) Average Seniority (Year)"
"中央各機關","CentralGovernmentAgency","187114","1043","11289","18422","23947","31624","34120","30425","22408","13144","692","45.19","18.00"
"地方各機關","LocalGovernmentAgency","156209","4248","14689","17969","24858","34048","29997","19211","8320","2731","138","41.45","15.55"
"新北市各機關","NewTaipeiCityAgency","18288","1106","3267","3075","2803","3012","2479","1644","725","173","4","38.02","11.99"
"臺北市各機關","TaipeiCityAgency","27940","816","2746","3712","4810","5199","4585","3594","1801","648","29","41.31","14.73"
"臺中市各機關","TaichungCityAgency","14741","405","1329","1570","2609","3528","2863","1591","587","244","15","41.12","15.84"
"臺南市各機關","TainanCityAgency","11389","137","776","1043","1823","2947","2507","1422","541","188","5","42.41","17.01"
"高雄市各機關","KaohsiungCityAgency","19073","310","1168","1901","2965","4499","4209","2660","1055","295","11","42.63","17.12"
"宜蘭縣各機關","YilanCountyAgency","3629","69","306","328","556","915","789","416","195","53","2","42.07","15.51"
"桃園縣各機關","TaoyuanCountyAgency","9379","410","1237","1254","1689","1891","1480","958","361","96","3","39.47","13.90"
"新竹縣各機關","HsinchuCountyAgency","3399","112","343","410","554","672","625","432","176","71","4","41.19","14.71"
"苗栗縣各機關","MiaoliCountyAgency","4053","112","352","446","590","917","785","524","230","94","3","41.91","15.57"
"彰化縣各機關","ChanghuaCountyAgency","7487","142","563","701","1177","1926","1583","932","342","109","12","42.08","16.65"
"南投縣各機關","NantouCountyAgency","4263","73","241","375","549","1055","1019","613","243","92","3","43.19","17.44"
"雲林縣各機關","YunlinCountyAgency","5085","78","401","525","741","1186","1086","654","305","101","8","42.46","16.37"
"嘉義縣各機關","ChiayiCountyAgency","4254","57","344","479","580","1027","932","523","219","84","9","42.26","16.35"
"屏東縣各機關","PingtungCountyAgency","6179","74","359","565","812","1467","1494","855","392","151","10","43.40","17.09"
"臺東縣各機關","TaitungCountyAgency","3148","78","226","294","431","747","684","431","199","56","2","42.58","16.34"
"花蓮縣各機關","HualienCountyAgency","3481","67","290","316","452","753","794","525","219","59","6","42.80","16.16"
"澎湖縣各機關","PenghuCountyAgency","1761","10","77","111","301","501","375","258","92","32","4","43.53","18.82"
"基隆市各機關","KeelungCityAgency","2852","71","231","272","442","618","559","382","215","59","3","42.47","16.44"
"新竹市各機關","HsinchuCityAgency","2459","87","218","261","438","513","475","294","131","41","1","41.28","15.75"
"嘉義市各機關","ChiayiCityAgency","1938","20","127","171","300","470","460","278","90","21","1","42.68","17.75"
"金門縣各機關","KinmenCountyAgency","1154","10","75","135","197","167","166","178","169","55","2","44.33","18.31"
"連江縣各機關","LienchiangCountyAgency","257","4","13","25","39","38","48","47","33","9","1","44.68","19.22"
