"縣市別","County(City)","總計 Grand Total","男性 Male","女性 Female","行政機關 Administrative Agency","計 Total","生產事業 Production Enterprise","交通事業 Transportation Enterprise","金融事業 Financial Enterprise","衛生醫療機構 Hygien & Medical Service Org.","公立學校(職員) Public School (Staff)"
"總計","GrandTotal","343323","208888","134435","227071","71035","22940","33783","14312","19723","25494"
"中央各機關","CentralGovernmentAgency","187114","112934","74180","92518","68243","22244","31752","14247","16815","9538"
"地方各機關","LocalGovernmentAgency","156209","95954","60255","134553","2792","696","2031","65","2908","15956"
"新北市各機關","NewTaipeiCityAgency","18288","11563","6725","16424","－","－","－","－","205","1659"
"臺北市各機關","TaipeiCityAgency","27940","15856","12084","20466","2528","604","1868","56","1989","2957"
"臺中市各機關","TaichungCityAgency","14741","9380","5361","13285","－","－","－","－","－","1456"
"臺南市各機關","TainanCityAgency","11389","7257","4132","10323","－","－","－","－","－","1066"
"高雄市各機關","KaohsiungCityAgency","19073","11651","7422","16346","88","－","79","9","637","2002"
"宜蘭縣各機關","YilanCountyAgency","3629","2169","1460","3190","－","－","－","－","－","439"
"桃園縣各機關","TaoyuanCountyAgency","9379","5959","3420","8235","－","－","－","－","－","1144"
"新竹縣各機關","HsinchuCountyAgency","3399","1906","1493","2983","22","22","－","－","－","394"
"苗栗縣各機關","MiaoliCountyAgency","4053","2430","1623","3595","－","－","－","－","－","458"
"彰化縣各機關","ChanghuaCountyAgency","7487","4656","2831","6745","－","－","－","－","－","742"
"南投縣各機關","NantouCountyAgency","4263","2685","1578","3840","－","－","－","－","－","423"
"雲林縣各機關","YunlinCountyAgency","5085","3007","2078","4511","－","－","－","－","－","574"
"嘉義縣各機關","ChiayiCountyAgency","4254","2633","1621","3838","13","－","13","－","－","403"
"屏東縣各機關","PingtungCountyAgency","6179","3782","2397","5586","－","－","－","－","－","593"
"臺東縣各機關","TaitungCountyAgency","3148","2042","1106","2825","－","－","－","－","－","323"
"花蓮縣各機關","HualienCountyAgency","3481","2142","1339","3085","－","－","－","－","－","396"
"澎湖縣各機關","PenghuCountyAgency","1761","1275","486","1687","13","－","13","－","－","61"
"基隆市各機關","KeelungCityAgency","2852","1798","1054","2480","32","－","32","－","52","288"
"新竹市各機關","HsinchuCityAgency","2459","1472","987","2138","－","－","－","－","－","321"
"嘉義市各機關","ChiayiCityAgency","1938","1239","699","1787","－","－","－","－","－","151"
"金門縣各機關","KinmenCountyAgency","1154","852","302","1015","56","46","10","－","－","83"
"連江縣各機關","LienchiangCountyAgency","257","200","57","169","40","24","16","－","25","23"
