"縣市別","County(City)","總計 Grand Total","計 Total","博士 Ph.D. Degree","碩士 M.A. Degree","大學 University","專科 College","高中(高職) High (Vocational) School","國中初中初職以下 Junior High School & Under"
"總計","GrandTotal","343323","288549","3371","53209","131514","100455","52014","2760"
"中央各機關","CentralGovernmentAgency","187114","159312","3034","35570","76300","44408","25331","2471"
"地方各機關","LocalGovernmentAgency","156209","129237","337","17639","55214","56047","26683","289"
"新北市各機關","NewTaipeiCityAgency","18288","15853","41","2191","7017","6604","2414","21"
"臺北市各機關","TaipeiCityAgency","27940","24729","113","4474","11133","9009","3184","27"
"臺中市各機關","TaichungCityAgency","14741","12267","31","1599","4875","5762","2438","36"
"臺南市各機關","TainanCityAgency","11389","9144","36","1197","4176","3735","2234","11"
"高雄市各機關","KaohsiungCityAgency","19073","15328","52","2577","6814","5885","3725","20"
"宜蘭縣各機關","YilanCountyAgency","3629","2978","4","317","1212","1445","645","6"
"桃園縣各機關","TaoyuanCountyAgency","9379","7934","14","915","3199","3806","1435","10"
"新竹縣各機關","HsinchuCountyAgency","3399","2819","4","342","1263","1210","569","11"
"苗栗縣各機關","MiaoliCountyAgency","4053","3311","2","337","1395","1577","734","8"
"彰化縣各機關","ChanghuaCountyAgency","7487","6006","3","608","2514","2881","1461","20"
"南投縣各機關","NantouCountyAgency","4263","3261","6","348","1226","1681","992","10"
"雲林縣各機關","YunlinCountyAgency","5085","4068","6","412","1697","1953","1000","17"
"嘉義縣各機關","ChiayiCountyAgency","4254","3411","2","375","1409","1625","838","5"
"屏東縣各機關","PingtungCountyAgency","6179","4580","5","438","1989","2148","1575","24"
"臺東縣各機關","TaitungCountyAgency","3148","2354","－","253","882","1219","789","5"
"花蓮縣各機關","HualienCountyAgency","3481","2785","2","245","974","1564","693","3"
"澎湖縣各機關","PenghuCountyAgency","1761","1302","3","127","470","702","452","7"
"基隆市各機關","KeelungCityAgency","2852","2385","1","249","946","1189","465","2"
"新竹市各機關","HsinchuCityAgency","2459","2044","8","238","921","877","412","3"
"嘉義市各機關","ChiayiCityAgency","1938","1561","2","205","631","723","377","－"
"金門縣各機關","KinmenCountyAgency","1154","942","2","171","394","375","179","33"
"連江縣各機關","LienchiangCountyAgency","257","175","－","21","77","77","72","10"
